id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3h3j022thgynk4nmmowq	105180301	ノルアドリナリン注1mg					true	循環作動薬	ノルアドレナリン
cmtgz3gy200ythgyn5abqacgv	102447001	ドパミン塩酸塩点滴静注100mg					true	循環作動薬	ドパミン
cmtgz3gy200z6hgynemudwd24	102451703	ドパミン塩酸塩点滴静注200mg					true	循環作動薬	ドパミン
cmtgz3hqr06uqhgyn4tw2terp	113990702	ドパミン塩酸塩点滴静注50mg					true	循環作動薬	ドパミン
cmtgz3gy200yuhgynxtgohyhx	102447008	ドパミン塩酸塩点滴静注液100mg					true	循環作動薬	ドパミン
cmtgz3i6j09athgyn5l4p1rqv	120605001	ドパミン塩酸塩点滴静注液200mg					true	循環作動薬	ドパミン
cmtgz3gy200z7hgyn50uwqoki	102461604	ドパミン塩酸塩点滴静注液200mgキット					true	循環作動薬	ドパミン
cmtgz3gy200zahgynj0yynj18	102463005	ドパミン塩酸塩点滴静注液200mgバッグ					true	循環作動薬	ドパミン
cmtgz3hqr06uuhgynl1qn9t8o	113990708	ドパミン塩酸塩点滴静注液50mg					true	循環作動薬	ドパミン
cmtgz3gy200zbhgyn81yq8qqx	102464704	ドパミン塩酸塩点滴静注液600mgキット					true	循環作動薬	ドパミン
cmtgz3gy200zehgyn3xoul6pm	102466105	ドパミン塩酸塩点滴静注液600mgバッグ					true	循環作動薬	ドパミン
cmtgz3hyt08bdhgyn0x0c40u2	117578301	ドパミン液600					true	循環作動薬	ドパミン
cmtgz3hyq07tfhgynwybkhr5n	116445901	塩酸ドパミン注キット200					true	循環作動薬	ドパミン
cmtgz3hyq07tghgyntlg1yq2s	116446601	塩酸ドパミン注キット600					true	循環作動薬	ドパミン
cmtgz3hqq06p9hgyn9a5lyu4k	113653107	ドブタミン塩酸塩点滴静注100mg					true	循環作動薬	ドブタミン
cmtgz3hqq06pahgynns8cid0e	113653114	ドブタミン塩酸塩点滴静注液100mg					true	循環作動薬	ドブタミン
cmtgz3huk07bshgynecae87y5	115121302	ドブタミン持続静注150mgシリンジ					true	循環作動薬	ドブタミン
cmtgz3hyt08bfhgyn8epm4ax6	117579002	ドブタミン持続静注300mgシリンジ					true	循環作動薬	ドブタミン
cmtgz3huk07bqhgyn3j67m437	115120602	ドブタミン持続静注50mgシリンジ					true	循環作動薬	ドブタミン
cmtgz3hqq06p8hgynov2tn9ct	113653106	ドブタミン点滴静注100mg					true	循環作動薬	ドブタミン
cmtgz3hqq06pbhgynl5l3j52p	113653116	ドブタミン点滴静注液100mg					true	循環作動薬	ドブタミン
cmtgz3gy200zghgyniwhskxq4	102479103	ドブタミン点滴静注液200mgキット					true	循環作動薬	ドブタミン
cmtgz3gy200zhhgyn748rpqi6	102480703	ドブタミン点滴静注液600mgキット					true	循環作動薬	ドブタミン
cmtgz3hyq07thhgyn6pgzx20s	116447301	塩酸ドブタミン注100mg					true	循環作動薬	ドブタミン
cmtgz3gy3018jhgynqrge3mwp	103053202	ネオシネジンコーワ注1mg					true	循環作動薬	α刺激薬
cmtgz3gy3018khgyn1kt11rh9	103054902	ネオシネジンコーワ注5mg					true	循環作動薬	α刺激薬
cmtgz3gy3018ehgynvtppn419	103045701	ミドドリン塩酸塩錠2mg					false	循環作動薬	α刺激薬
cmtgz3gy401fuhgyn8dzevlis	103600801	アメジニウムメチル硫酸塩錠10mg					false	循環作動薬	α刺激薬
cmtgz3gy401fohgyn5zmfoyw3	103592601	リズミック錠10mg					false	循環作動薬	α刺激薬
cmtgz3gy401i0hgynhqwdevhm	103715903	塩酸エフェドリン注					true	循環作動薬	α刺激薬
cmtgz3hqr06uphgyng0cesvwt	113989101	デノパミン錠10mg					false	循環作動薬	β刺激薬
cmtgz3hqr06unhgyndcuda4wm	113987701	デノパミン錠5mg					false	循環作動薬	β刺激薬
cmtgz3gy200yohgyngvadba31	102440102	プロタノールL注0.2mg					true	循環作動薬	β刺激薬
cmtgz3gy200yphgynhw9s5wig	102441802	プロタノールL注1mg					true	循環作動薬	β刺激薬
cmtgz3gy200y4hgyn9xiowp7j	102411102	プロタノールS錠15mg					false	循環作動薬	β刺激薬
