id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3gsh0000hgynmsbue56r	100303101	フローセン		1mL		外用	FALSE		
cmtgz3gsh0001hgynb1u8xft0	100305501	エーテル		10mL		外用	FALSE		
cmtgz3gsh0002hgynecnk6wfy	100306201	ラボナール注射用0.3g		1管		注射・点滴	TRUE		
cmtgz3gsh0003hgyn9vpdheal	100307901	ラボナール注射用0.5g		1管		注射・点滴	TRUE		
cmtgz3gsh0004hgynwjcbc6qo	100311601	笑気ガス		1g		外用	FALSE		
cmtgz3gsh0005hgyn1rim5kad	100311603	液化亜酸化窒素		1g		外用	FALSE		
cmtgz3gsh0006hgynof789g5s	100311604	笑気ガス(住友精化)		1g		外用	FALSE		
cmtgz3gsh0007hgyn1v4ythit	100311605	マルワ亜酸化窒素		1g		外用	FALSE		
cmtgz3gsh0008hgyn1wf32nd0	100311606	小池笑気		1g		外用	FALSE		
cmtgz3gsh0009hgynitxtkegq	100311610	アネスタ		1g		外用	FALSE		
cmtgz3gsh000ahgynjuyc0fw9	100311613	笑気ガス〈ショウワ〉		1g		外用	FALSE		
cmtgz3gsh000bhgyngm9vbxkx	100313002	アネソキシン-50		1L		外用	FALSE		
cmtgz3gsh000chgynrk0zwrl3	100314701	ケタラール静注用200mg		1瓶		注射・点滴	TRUE		
cmtgz3gsh000dhgynrj7ya0y7	100315401	ケタラール筋注用500mg		1瓶		注射・点滴	TRUE		
cmtgz3gsh000ehgynrrqhqqs1	100316101	ドロレプタン注射液25mg		1mLバイアル		注射・点滴	TRUE		
cmtgz3gsh000fhgyn2j5u6btt	100317802	1%ディプリバン注 200mg20mL		1管		注射・点滴	TRUE	麻酔薬	全身麻酔薬
cmtgz3gsh000ghgyno717y092	100318502	1%ディプリバン注 500mg50mL		1瓶		注射・点滴	TRUE	麻酔薬	全身麻酔薬
cmtgz3gsh000hhgyng6toxufw	100320802	フォーレン吸入麻酔液		1mL		外用	FALSE		
cmtgz3gsh000ihgynzig80ico	100322204	セボフレン吸入麻酔液		1mL		外用	FALSE		
cmtgz3gsh000jhgynm3coct2s	100323902	ブロバリン原末		1g		内服	FALSE		
cmtgz3gsh000khgynwx7fihb9	100323903	ブロムワレリル尿素		1g		内服	FALSE		
cmtgz3gsh000lhgynquk5e7sg	100323905	ブロモバレリル尿素原末		1g		内服	FALSE		
cmtgz3gsh000mhgynmvkphcii	100323909	ブロモバレリル尿素		1g		内服	FALSE		
cmtgz3gsh000nhgynnzq1o2xw	100324601	抱水クロラール		1g		内服	FALSE		
cmtgz3gsh000ohgynsywx9yyr	100325303	エスクレ坐剤「250」		1個		外用	FALSE		
cmtgz3gsh000phgyniqvamg0d	100326003	エスクレ坐剤「500」		1個		外用	FALSE		
cmtgz3gsh000qhgyncm61933m	100327701	ユーロジン散1%		1g		内服	FALSE		
cmtgz3gsh000rhgynhebxbyi0	100328401	ユーロジン1mg錠		1錠		内服	FALSE		
cmtgz3gsh000shgynq7g4eq1d	100329101	ユーロジン2mg錠		1錠		内服	FALSE		
cmtgz3gsh000thgynan0glsd8	100332102	ダルメートカプセル15		1カプセル		内服	FALSE		
cmtgz3gsh000uhgynkpjrv2gt	100335201	ネルボン散1%		1g		内服	FALSE		
cmtgz3gsh000vhgynkvr5uk6l	100338301	ニトラゼパム細粒1%		1g		内服	FALSE		
cmtgz3gsh000whgynovr0rytn	100339001	ベンザリン細粒1%		1g		内服	FALSE		
cmtgz3gsh000xhgyn14lzho43	100340601	ベンザリン錠2		1錠		内服	FALSE		
cmtgz3gsh000yhgynkre4rwng	100342001	ニトラゼパム錠5mg		1錠		内服	FALSE		
cmtgz3gsh000zhgyn1yau7vz0	100345101	ネルボン錠5mg		1錠		内服	FALSE		
cmtgz3gsh0010hgyn56rc8qez	100350501	ベンザリン錠5		1錠		内服	FALSE		
cmtgz3gsh0011hgynbzcs1vo4	100352901	ニトラゼパム錠10mg		1錠		内服	FALSE		
cmtgz3gsh0012hgynq6l1tceq	100354301	ネルボン錠10mg		1錠		内服	FALSE		
cmtgz3gsh0013hgynomq0ce57	100355001	ネルロレン錠「10」		1錠		内服	FALSE		
cmtgz3gsh0014hgynw8h5u0rx	100357401	ベンザリン錠10		1錠		内服	FALSE		
cmtgz3gsh0015hgynwqju76x8	100361102	エリミン錠3mg		1錠		内服	FALSE		
cmtgz3gsh0016hgyn2rj58ayq	100362802	エリミン錠5mg		1錠		内服	FALSE		
